     clean_test    budget  domgross
176          ok  12000000  91547205
177         men  21500000  16684352
178      notalk 125000000  58877969
179          ok  70000000  62321039
180          ok  32500000  17288155
181          ok  37500000  41152203
182          ok  19000000   5310554
183      notalk 150000000  83670083
184          ok 165000000 189412677
185          ok  52500000  95720716
186      notalk  28000000  37053924
187         men   8000000  35016118
188     dubious  20000000   5702083
189          ok   4000000      #N/A
190      notalk  20000000  35061031
191          ok    175000   1321194
192     nowomen   5000000  17686929
193      notalk  85000000  46462469
194          ok  13000000   1024175
195          ok  19000000 100292856
196      notalk  70000000  83552429
197      notalk  17000000  27865571
198      notalk   4500000    200558
199          ok  32500000 169106725
200      notalk 140000000 176654505
201         men 200000000 191450875
202          ok    900000    454121
203      notalk  40000000  36665854
204     dubious  20000000  38264085
205          ok  60000000  75658097
206         men  10000000    749641
207      notalk 163000000 100240551
208          ok  10000000      #N/A
209      notalk  18000000  52698535
210         men  37000000  72286779
211          ok  50000000  21302340
212     dubious  15000000  35060689
213          ok 125000000 209837675
214         men  40000000  42587643
215          ok  24000000  51802742
216     dubious  30000000  18298649
217      notalk 200000000 116601172
218         men  36000000  45060734
219          ok  30000000  40259119
220      notalk 125000000 381011219
221     nowomen  23000000  18942396
222      notalk   7000000    382946
223          ok   1800000    841056
224     nowomen   3000000    703372
225         men  63000000 108085305
226          ok  35000000 117538559
227     dubious 180000000  73864507
228      notalk  50000000  55100437
229         men  75000000  83504017
230      notalk  35000000  37553932
231          ok   5500000   5580479
232          ok 100000000    311434
233     dubious  45000000   8305970
234          ok   7000000  37295394
235     dubious  80000000 103028109
236     dubious    800000     29063
237     nowomen  70000000  25124986
238          ok 150000000 165249063
239     dubious   5500000    611709
240          ok    250000   3395391
241      notalk  27000000  79249455
242          ok  14000000     47185
243      notalk   3400000   5353586
244     dubious 150000000  21392758
245          ok   1000000   2981038
246          ok   9400000   3030848
247          ok  30000000  56816662
248      notalk 145000000 209397903
249      notalk  50000000  75605492
250      notalk  55000000  68224452
251          ok  26000000  54544638
252          ok  25000000  70662220
253          ok   1000000   5355847
254          ok   5000000  24814830
255          ok   5000000 104028807
256          ok  40000000  37412945
257      notalk 250000000 241063875
258      notalk  60000000  29136626
259      notalk 130000000 149260504
260      notalk 135000000 123257581
261      notalk 110000000  85463309
262          ok  42000000  37662162
263          ok   4000000   1065429
264          ok   8000000    163753
265      notalk  90000000 143619809
266      notalk  93000000 176760185
267      notalk   6500000   4002293
268          ok   6000000   1348205
269          ok  18000000  43853424
270      notalk  32000000  54712227
271          ok  25000000  10324441
272          ok  75000000  36392502
273          ok  50000000 127004179
274          ok   4750000   1728953
275     dubious  50200000  62495645
276      notalk 130000000  77591831
277      notalk  16000000  44667095
278          ok  10000000  46383639
279     dubious  30000000  42073277
280          ok  34800000  21443494
281          ok   3000000     18000
282          ok   1000000    568662
283      notalk  90000000 102515793
284      notalk 110000000  98780042
285      notalk   6000000   5359774
286          ok  25000000 169705587
287          ok  14000000  29959436
288      notalk  40000000  58009200
289     nowomen  42500000  29121498
290      notalk  45000000  88625922
291     dubious  37000000  33047633
292          ok  16000000  37300107
293          ok 110000000 142614158
294         men  90000000  20377913
295     nowomen  35000000  13305665
296          ok 127500000 281287133
297          ok 150000000 181030624
298      notalk  21000000  24149393
299      notalk  85000000  78046570
300          ok 195000000 352390543
301      notalk  70000000  79883359
302      notalk  25000000  13657115
303         men  50000000  75624550
304      notalk    190000    484592
305          ok  20000000  14011084
306     nowomen  30000000  26692846
307          ok 160000000 146408305
308          ok  12000000  16311571
309          ok    120000   1597486
310     dubious  18000000  18335230
311          ok 200000000 334191110
312      notalk   4200000   1044039
313          ok   8000000   3205706
314          ok  30000000   7502560
315      notalk   3200000   5790894
316      notalk  35000000   5101237
317          ok  13000000 106954678
318         men   1000000   9737892
319          ok  55000000  39440655
320      notalk  12500000   2039869
321      notalk  15000000    123570
322      notalk  44000000  31206263
323     dubious 125000000 163214888
324          ok  12500000   6797696
325      notalk  37000000  44875481
326          ok  15000000  20218921
327      notalk   7000000   7468936
328          ok  55000000  98711404
329     nowomen  25000000  80014842
330          ok  69000000 251513985
331          ok  10000000  33679655
332          ok  15000000  64003625
333      notalk  69000000  73026337
334          ok  25000000  24046682
335      notalk  65000000 100539043
336     nowomen  20000000   1186538
337          ok   8000000  58401464
338          ok  60000000  80574010
339      notalk  60000000  43313890
340      notalk   5000000   2712131
341          ok  50000000  11497497
342     nowomen  12000000  23240020
343          ok  21000000  37729698
344      notalk 150000000 393050114
345      notalk  40000000  61153526
346          ok  32000000  17804299
347     nowomen 100000000  35497337
348          ok  75000000 162001186
349         men   9900000    458054
350          ok 125000000 295983305
351      notalk  36000000  50269859
352          ok 165000000 217581231
353          ok  10000000   5005465
354     dubious 160000000 292576195
355          ok   1500000  54009150
356          ok 170000000 312433331
357      notalk   8000000   6363628
358      notalk  28000000  48071303
359         men 117000000  76423035
360          ok  26000000  40168080
361      notalk  20000000  12134935
362     dubious  30000000  53032453
363         men  30000000  32367005
364          ok  12500000  26593646
365          ok   8000000   1095369
366         men   2000000    977772
367     nowomen 130000000 148415853
368     nowomen    500000    237301
369          ok  40000000  31011732
370          ok  35000000  29197642
371          ok  15000000   2434652
372          ok   3000000  84752907
373     dubious  95000000  88768303
374          ok   3000000   4033574
375     nowomen  40000000  52000688
376     nowomen 200000000  90759676
377          ok   5000000   2229058
378          ok  15000000  26167002
379         men  60000000  90380162
380          ok  16000000  19068240
381          ok  32000000  13942007
382     dubious 210000000 105487148
383          ok 130000000 118311368
384          ok  85000000  31611316
385          ok  35000000  59699513
386          ok  95000000  95347692
387      notalk 165000000 238736787
388      notalk  80000000 128012934
389     dubious  10000000  21416355
390     dubious   7000000   1785645
391      notalk   1900000    467602
392      notalk   2500000    327716
393      notalk  32000000  57744720
394          ok 260000000 200821936
395     nowomen 110000000  77222099
396          ok  35000000  37490007
397          ok 155000000 104386950
398     dubious  25000000  11538204
399          ok  19000000  39123589
400          ok  20000000  31177548
401      notalk  82000000 103068524
402         men  11000000  93617009
403         men  45000000  15541549
404     nowomen  16500000  39868642
405     dubious  40000000 176591618
406          ok   4000000  20811365
407      notalk  13000000    217277
408          ok  15000000 138797449
409      notalk 150000000 131772187
410          ok   1800000  41034350
411      notalk  25000000  23591432
412          ok  30000000  21148651
413     nowomen 100000000 119219978
414          ok   9500000   3573673
415      notalk  40000000  96962694
416      notalk 160000000  63150991
417          ok  28000000  24307106
418         men  19000000  27758465
419          ok  20000000    277943
420     nowomen 100000000  67631157
421      notalk  37000000  92186262
422          ok  68000000 300531751
423      notalk 150000000  62189884
424          ok     50000    391674
425     dubious 200000000 415004880
426      notalk 200000000 172062763
427          ok  35000000 171243005
428          ok   5000000    223838
429     dubious  95000000  81562942
430          ok  52000000 110485654
431     dubious  70000000  52474616
432          ok  10000000    152857
433      notalk   8000000    109338
434          ok   2000000   6531503
435          ok  13000000      #N/A
436     nowomen  80000000 100246011
437          ok  20000000  25702053
438          ok  15000000   3247816
439      notalk   7500000  32391374
440          ok  40000000  64167069
441      notalk 200000000 166112167
442     nowomen  30000000  31749894
443     dubious  14000000  15515460
444         men   7000000   9228788
445      notalk   7000000   9176000
446         men   3200000   2277396
447         men   9800000  16044025
448      notalk  70000000    619423
449         men   1000000    621859
450          ok  15000000  33862903
451          ok   7500000  12574914
452     nowomen 150000000 133375846
453     nowomen  20000000  15988876
454     dubious  65000000  19551067
455         men 425000000 760507625
456          ok  21000000   9451946
457     nowomen  42000000  60054530
458          ok  30000000  58715510
459          ok   8500000   4444637
460      notalk  17000000  27163593
461          ok  26000000  28544157
462      notalk  20000000  14363397
463          ok  27000000  13261851
464         men  13000000   3075255
465      notalk 100000000 124870275
466          ok  23000000   6113834
467          ok  60000000  75286229
468      notalk  20000000  30101577
469         men    800000     46742
470      notalk  30000000 115646235
471          ok  30000000  42100625
472      notalk  16000000    337997
473         men  20000000   9208876
474      notalk  40000000  21002919
475      notalk  85000000 155064265
476      notalk  20000000  17231291
477          ok   3000000    374675
478         men  17000000  65002019
479      notalk  72500000  51855045
480      notalk 150000000 119436770
481      notalk 175000000 150201498
482      notalk  50000000  20534907
483      notalk   7000000   9176933
484      notalk   7300000   1818681
485          ok 250000000 301959197
486          ok  40000000  93953653
487     nowomen  18000000         0
488      notalk  13000000   2037459
489         men  40000000  71440011
490      notalk  90000000 196573705
491     dubious  70000000 120831050
492      notalk  49000000  37491364
493          ok  85000000 112735375
494          ok  16000000  16204793
495          ok  40000000  94125426
496      notalk  50000000  79957634
497      notalk  53000000  73357727
498          ok   4500000    281447
499     dubious  42000000   1259693
500     dubious 175000000 198351526
501      notalk   5000000   5010163
502          ok   7000000   1110509
503         men  14000000  51545952
504          ok  27500000  49200230
505         men  80000000  19676965
506      notalk  50000000  38122883
507     dubious   1900000   1445366
508          ok  12000000    550472
509         men   4300000    199228
510      notalk  40000000  10330853
511     nowomen   6600000       828
512      notalk  60000000  42194060
513          ok  10000000  47566524
514      notalk 102500000  97104620
515          ok  38000000  31811527
516      notalk  90000000 209028679
517          ok  30000000  17010170
518          ok 140000000 257730019
519          ok  60000000  37017955
520      notalk  80000000  38577772
521         men 200000000 125322469
522         men  35000000 255959475
523     nowomen  50000000   8017467
524     nowomen   8000000  10273187
525          ok  25000000  15051977
526          ok   8300000    493296
527          ok  40000000  66477700
528          ok  10000000  26218170
529     dubious  90000000 102515793
530     dubious   1300000    695840
531          ok  10000000    100688
532      notalk  35000000 277322503
533      notalk  30000000   7689607
534      notalk  22000000  33316821
535         men  18500000  18451251
536          ok  18000000   6617867
537          ok  95000000  44114232
538     nowomen  24000000  32428195
539      notalk   6500000   1109660
540          ok 105000000 104400899
541         men  40000000 163958031
542      notalk  25000000   8114270
543     nowomen   8000000    690290
544      notalk  60000000  31720158
545     nowomen 110000000  65452312
546     dubious  39000000  63414846
547         men  38000000  88915214
548          ok  16000000  42670410
549          ok  35000000  11001272
550          ok 210000000 402111870
551      notalk 175000000 293004164
552         men  30000000  83823381
553          ok   9000000      #N/A
554         men 138000000 107509799
555     dubious  15000000   5306706
556      notalk 100000000  77233467
557          ok  15000000  13043363
558          ok  35000000  10275638
559     dubious 150000000 179883157
560          ok    200000      #N/A
561      notalk  18000000  15285588
562          ok  23600000  75590286
563          ok  35000000  81159365
564      notalk  20000000  20211394
565         men 130000000  49554002
566          ok  30000000  60494212
567      notalk  20000000  11175164
568          ok  80000000 110101975
569          ok  25000000   3073392
570          ok 150000000 114053759
571      notalk  37000000  60355347
572          ok  55000000  35739802
573      notalk  58000000    293708
574          ok  38000000   7871693
575          ok  25000000  80048433
576          ok  18000000      #N/A
577      notalk  65000000  36316032
578          ok  50000000  28644813
579          ok   7000000  32241649
580          ok  33000000  11008770
581          ok  20000000  33446470
582      notalk  80000000 101440743
583          ok  14000000   2656784
584         men    500000  33456317
585     nowomen  25000000  14543943
586          ok  30000000  63172463
587          ok  80000000 120146040
588      notalk  29000000  18622031
589          ok   1000000   2511476
590          ok  34000000  15090399
591      notalk  20000000  13252641
592         men  25000000 148095302
593          ok   9000000   4886216
594     nowomen 150000000 227946274
595          ok  82500000  75986503
596          ok  11000000  90559416
597         men  30000000  19528602
598      notalk  15000000   7800825
599      notalk 185000000 317023851
600          ok  60000000  17303424
601         men 186000000 318604126
602      notalk  45000000 101704370
603      notalk  82500000  81168265
604      notalk 130000000 215434591
605      notalk   4500000   2122085
606         men  40000000  46012734
607          ok  35000000  40687294
608      notalk  60000000  11803254
609      notalk  20000000  31841299
610         men  45000000   7916887
611          ok  10000000  31487293
612          ok  37000000  48006762
613         men  26000000  87341380
614     nowomen   1500000      3865
615          ok  25000000  10103647
616          ok  18000000  43869350
617      notalk 230000000 169368427
618          ok  12000000  31691811
619          ok  12000000  12796861
620          ok  45000000  22911480
621      notalk  18000000   5700626
622          ok  54000000  69951824
623          ok  57500000 152647258
624      notalk  14000000 141319928
625          ok 120000000  43945766
626     dubious   7000000      #N/A
627      notalk  65000000 100468793
628          ok   5000000  12062558
629     dubious  20000000   3083538
630          ok  25000000 145000989
631          ok  20000000  30060660
632     dubious  20000000   3531756
633          ok 225000000 141621490
634     dubious 160000000 127509326
635     dubious 185000000 533345358
636          ok  80000000  79366978
637          ok  12000000  31418697
638      notalk  55000000  52075270
639          ok  25000000  48237389
640      notalk  15000000  17017811
641      notalk 137500000 134806913
642          ok  14000000    266967
643          ok  40000000  26814957
644      notalk  32500000  34194407
645          ok  11000000  37770162
646          ok  27000000  44089964
647     dubious   9000000  52597610
648          ok  60000000  50877145
649          ok  16000000  26902075
650      notalk   6000000  26238243
651      notalk  20000000      #N/A
652          ok  15000000   2203641
653     nowomen  90000000 110461307
654          ok  37000000 192769854
655      notalk  90000000  83077762
656          ok  16000000  23216709
657      notalk 180000000 223808164
658     nowomen   2000000   2283849
659      notalk  75000000 134508551
660     dubious  27500000  42436517
661          ok    300000    865695
662          ok  35000000  80277646
663      notalk  50000000  97690976
664          ok   2100000      #N/A
665          ok  22500000  71985628
666          ok  15000000  28638916
667     nowomen  48000000  53606916
668         men  30000000  39568996
669      notalk  30000000  16930884
670          ok  45000000  24343673
671          ok  30000000  50980159
672          ok  16500000  18663911
673          ok 150000000  82195215
674          ok  61000000 118594548
675          ok  25000000  82234139
676          ok   8000000    458232
677         men  12000000   3950294
678          ok  75000000  66661095
679          ok  21000000  42739347
680          ok   2750000    952620
681          ok  20000000  80209692
682          ok  50000000  17181265
683          ok  85000000 127706877
684     dubious 120000000 131921738
685          ok  19000000  20300218
686          ok  75000000 118871849
687          ok  15000000  58269151
688      notalk  50000000  27669725
689          ok 150000000 292004738
690     nowomen  17500000  39687694
691          ok   7500000  17544812
692      notalk  16000000  23618786
693      notalk  25000000  13938332
694          ok 150000000 256393010
695      notalk  20000000  18354356
696          ok   7000000 143495265
697          ok  27500000 148761765
698          ok  12500000   5956480
699      notalk 110000000 134529403
700         men  21500000  49033882
701         men  40000000  50572589
702     dubious  25000000  74273505
703          ok  28000000  43107979
704     dubious    450000 107918810
705          ok   7300000   4443403
706          ok 300000000 309420425
707          ok  20000000  47852604
708     nowomen 150000000 206445654
709          ok  45000000  50648679
710      notalk 180000000 140125968
711      notalk  60000000  47003582
712          ok 160000000 322719944
713          ok  11400000     15000
714          ok  70000000  38634938
715      notalk  40000000   3688560
716      notalk  17500000 121463226
717          ok  16500000  11892415
718     dubious   2000000    347578
719      notalk  45000000  93466502
720          ok 205000000  70107728
721     nowomen  20000000  15800078
722      notalk    200000      #N/A
723          ok  16000000  35374833
724          ok  13000000  25593755
725      notalk  32000000  35193167
726          ok   9000000   6623082
727         men     50000    251150
728          ok  72500000 183135014
729     dubious   4000000   9427026
730     nowomen  25000000  40222514
731      notalk  35000000  54149098
732      notalk 151000000 319246193
733          ok   6537890      8744
734          ok   1500000  19097550
735     nowomen  28000000  28563179
736      notalk  10000000      #N/A
737     nowomen  60000000 210614939
738      notalk  20000000   5501616
739          ok   8000000  18848430
740          ok  12000000  18597342
741          ok  35000000      #N/A
742          ok   9000000  16235738
743      notalk 100000000  57377916
744      notalk   8000000  12671300
745      notalk  18000000 128505958
746          ok   4000000   7006708
747      notalk  70000000 244082982
748      notalk 102000000 167365000
749          ok  76000000  35552383
750     dubious   5000000  24148068
751     nowomen  12000000  27838408
752     nowomen   2000000  11284657
753          ok  30000000    480314
754          ok  16000000  37634615
755      notalk 100000000  75030163
756         men   8000000    298110
757          ok  25000000  54098051
758     nowomen 149000000  64665672
759          ok  12000000   5549923
760          ok   6500000  13368437
761      notalk  75000000 195330621
762          ok  15000000  12669914
763     dubious  50000000  88634237
764      notalk  11000000  72778712
765         men  75000000  42285169
766          ok  45000000  38399961
767      notalk  13000000  13756082
768          ok  14000000   5463019
769          ok   8000000  59891098
770          ok    825000      #N/A
771      notalk  27000000  22495466
772      notalk  20000000  37442180
773          ok  40000000  15962471
774          ok  30000000   3005605
775          ok  75000000  73661010
776     nowomen  32000000  80197993
777          ok 110000000 250863268
778          ok  27500000  17510118
779         men    150000   9445857
780      notalk  85000000  85105259
781     dubious  13000000   4857374
782          ok  63700000   2223293
783         men 225000000 423315812
784         men 160000000  60674817
785          ok    400000   1692693
786          ok   5300000   2197694
787          ok  12000000   6860000
788         men  25000000  33889159
789     dubious   2000000    199176
790          ok   2000000   1985292
791          ok  50000000  46982632
792          ok  15250000   7802450
793     dubious  17000000  35662731
794          ok  33000000  34020814
795          ok  17000000    275380
796          ok  20000000  26910736
797          ok  30000000  40435190
798      notalk 232000000 200120000
799          ok  30000000  34742066
800         men  45000000  28142535
801      notalk  52000000 118806699
802      notalk 125000000 217536138
803          ok   3300000     19875
804      notalk  90000000 133311000
805          ok  35000000 124740460
806     dubious  35000000  10144010
807          ok  20000000  39143839
808      notalk   3700000   2730296
809          ok  85000000  63280000
810          ok  50000000  26623701
811     nowomen  16500000  39868642
812     dubious  40000000  52330111
813     dubious  19400000   8060487
814      notalk  40000000  53089891
815     nowomen  55000000 162586036
816     dubious  15000000  56441711
817      notalk   8300000   1829142
818      notalk  30000000  18522064
819          ok   9400000  12899867
820      notalk  65000000  43545364
821          ok  15000000  47860214
822      notalk   1000000    446165
823          ok 210000000 234362462
824      notalk  54000000  75802010
825          ok  35000000  11989328
826          ok  22000000   4398532
827          ok  55000000  25857987
828          ok  30000000  20040895
829      notalk 150000000 205343774
830          ok  25000000  36351350
831          ok  80000000  63313159
832     dubious  25000000   2405420
833         men  20000000  46752382
834          ok   2900000   3127472
835      notalk    450000   2075743
836      notalk  13900000  83043761
837     dubious   7000000  28750530
838          ok 150000000 206459076
839          ok   4500000    211667
840         men  88000000  61649911
841          ok  45000000  67264877
842      notalk  75000000  75976178
843     nowomen    450000    379418
844     dubious  30000000  53359111
845          ok  35000000  19294901
846      notalk  43000000  24537621
847          ok  60000000  25473093
848      notalk   8000000     23106
849          ok  50000000  10169202
850      notalk  70000000  28212337
851      notalk  87500000 154696080
852          ok  55000000  89706988
853          ok 140000000 110550000
854      notalk   7000000  31501218
855          ok    950000   1024640
856      notalk 150000000 290013036
857          ok  50000000  66010682
858          ok  25000000  51100486
859         men  55000000 177784257
860          ok  17500000  51386611
861      notalk   4800000  47326473
862     dubious   2800000  22202809
863          ok  25000000  24381334
864     nowomen  72000000  62647540
865          ok   1000000   2678010
866          ok  58000000  48318130
867     nowomen 207000000 218080025
868     nowomen 110000000  47398413
869      notalk  15000000   4235837
870         men  42000000  24149632
871     nowomen  75000000 193595521
872          ok  50000000  19699706
873          ok  15000000  23089926
874          ok   2000000   3885134
875          ok  85000000  57010853
876          ok   4000000    864959
877          ok  60000000  48478006
878         men 110000000 186336279
879      notalk  75000000  47379090
880          ok  30000000  18324242
881      notalk  65000000   2070920
882          ok  28000000  38372662
883          ok  20000000   7535331
884          ok  26000000  57891803
885          ok  40000000  29077547
886      notalk  80000000 128200012
887     dubious   5000000  87025093
888          ok  39000000  25514517
889         men   7500000  10284523
890          ok  40000000  74103820
891          ok    300000     33312
892          ok  60000000  63939454
893      notalk 100000000  17018422
894      notalk 115000000 380270577
895      notalk 138000000  32116746
896          ok   2000000   2072645
897      notalk   7500000  24793509
898         men  26000000 109449237
899      notalk  50000000  39177684
900          ok  18500000  65233369
901          ok   1500000    712294
902          ok 180000000 291710957
903          ok  25500000  33579798
904          ok   7000000  26024456
905          ok   7000000  17044981
906          ok  18000000  75072454
907          ok  18000000  29511112
908      notalk  45000000  51019112
909          ok 120000000  35818913
910         men  28500000   6301131
911      notalk  80000000  45575336
912     dubious  30000000  12712093
913          ok  50000000  75941727
914          ok  40000000  47907715
915         men   1500000   7372734
916          ok  15000000  31726995
917          ok   1000000   9015303
918         men   4750000   1253413
919          ok  50000000  70511035
920          ok   1125000  16124543
921          ok  29000000 119519402
922      notalk 132000000 234280354
923          ok   3000000   5529144
924      notalk  10000000  56094360
925          ok  45000000  53359917
926     nowomen  65000000  28045540
927          ok  30000000  57139723
928          ok  12000000   1442338
929         men  75000000 120776832
930          ok  19000000  51438175
931     dubious   6500000   1029017
932          ok  55000000   6167817
933         men  25000000  84136909
934      notalk 110000000  24004159
935     dubious  70000000  80281096
936     nowomen  15000000   1200216
937     nowomen   2000000   5792822
938          ok  50000000  40203020
939          ok 100000000  40202379
940          ok  45000000  32003620
941          ok  35000000  33987757
942     nowomen  60000000 100170152
943          ok  20000000   8047525
944          ok   7303082  55334418
945          ok   3500000     96793
946          ok  28000000  58990765
947          ok  30000000 114326736
948          ok  35000000  22913677
949         men  20000000  34366518
950          ok  10000000     70527
951          ok  25000000  51676606
952     nowomen  75000000  21009180
953          ok   2500000  26782316
954          ok   9000000  18225165
955          ok 130000000 249538952
956      notalk  60000000  59623958
957          ok 110000000  50026353
958          ok  22000000  12784713
959      notalk 105000000 144801023
960      notalk  26000000  45489752
961          ok  11000000  10214647
962     nowomen  20000000  17104669
963      notalk   6500000   2339957
964          ok 100000000 118627117
965          ok   3200000   6529624
966          ok  18000000  86047227
967          ok  30000000 100492203
968      notalk  28000000  64378093
969          ok   1700000   1000915
970      notalk    400000  44540956
971      notalk  40000000  14018364
972      notalk      7000    424760
973          ok  50000000  37485528
974     dubious  40000000  75305995
975          ok  50000000  50740078
976          ok   5000000   8886160
977         men   1200000  55185045
978      notalk  40000000  47958031
979      notalk  75000000 161412000
980          ok   5000000  13542874
981          ok  70000000 441226247
982          ok  17000000  71502303
983          ok  70000000  37760080
984          ok  75000000  42044321
985      notalk 200000000 373524485
986         men  20000000  32774834
987      notalk 110000000 102608827
988         men  85000000 176087450
989         men  13000000  57924679
990         men 120000000  57712751
991          ok 125000000 186740799
992          ok  10000000 110359362
993          ok  92000000 261441092
994         men  50000000  24006726
995     dubious  30000000  81001787
996         men  55000000  51225796
997      notalk 170000000 194949659
998          ok  45000000  95149435
999          ok 100000000  59475623
1000     notalk  75000000  77073959
1001         ok  71682975 114197520
1002     notalk  30000000  16323969
1003     notalk 150000000 133298577
1004         ok 170000000 120150546
1005         ok  11000000   3753806
1006         ok  20000000  69148997
1007         ok  35000000  16862585
1008     notalk  76000000 127120058
1009    dubious  20000000  16248701
1010     notalk  70000000  66432867
1011         ok  20000000   2353728
1012         ok  81000000 242704995
1013         ok 120000000 100814328
1014         ok  80000000  95632614
1015     notalk  25000000  34657731
1016         ok  60000000 104148781
1017    nowomen  80000000 102543518
1018     notalk   7000000  32539681
1019    nowomen  68000000  33685268
1020         ok  26000000  46896664
1021     notalk  94000000 380529370
1022         ok  26000000 110222438
1023         ok  12000000  11634362
1024         ok   6400000   4063859
1025        men  20000000  67383924
1026     notalk  75000000  30207785
1027         ok  16500000  13005485
1028        men  50000000 105807520
1029     notalk 137000000 132177234
1030     notalk  28000000  52131264
1031         ok  12000000   4717455
1032         ok  25000000  35623801
1033         ok  55000000  70098138
1034    nowomen  90000000  65653758
1035         ok  25000000  90639088
1036         ok   2000000   7301288
1037    dubious   4000000  44585453
1038         ok  45000000  59472278
1039    nowomen 135000000  93926386
1040         ok  65000000  63803100
1041         ok   5000000  34469210
1042         ok  30000000  90135191
1043         ok 100000000  48417850
1044        men 125000000 305411224
1045         ok  28000000  38372662
1046         ok  70000000 116877597
